Event.Id,Event.Date,Country,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Injuries,Estimated.Total.Passengers,Serious.Fatal.Injury.Rate,Aircraft.Destroyed,Unique_Aircraft_Type
20180719X61107,2018-07-19,United States,Non-Fatal,substantial,CESSNA,170,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,CESSNA 170
20180719X63901,2018-07-19,United States,Non-Fatal,substantial,CESSNA,180,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 180
20180720X33818,2018-07-19,United States,Non-Fatal,substantial,PIPER,PA28,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,PIPER PA28
20180720X93110,2018-07-20,United States,Fatal,destroyed,DEHAVILLAND,DH112 VENOM,No,1.0,turbo jet,personal,1,0,0,0,vmc,1,1,1.0,1,DEHAVILLAND DH112 VENOM
20180726X43604,2018-07-20,United States,Non-Fatal,substantial,CESSNA,310,No,2.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 310
20180723X93813,2018-07-21,United States,Non-Fatal,substantial,CESSNA,210C,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 210C
20180725X10930,2018-07-21,United States,Non-Fatal,substantial,CESSNA,195,No,1.0,reciprocating,personal,0,0,0,4,vmc,0,4,0.0,0,CESSNA 195
20180723X00336,2018-07-22,United States,Non-Fatal,substantial,AIR TRACTOR,AT 301,No,1.0,reciprocating,aerial application,0,0,0,1,vmc,0,1,0.0,0,AIR TRACTOR AT 301
20180723X90643,2018-07-22,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,instructional,0,0,0,2,vmc,0,2,0.0,0,CESSNA 172
20180725X41213,2018-07-22,United States,Non-Fatal,substantial,MOONEY,M20E,No,1.0,reciprocating,instructional,0,0,0,2,vmc,0,2,0.0,0,MOONEY M20E
20180830X35508,2018-07-22,United States,Non-Fatal,substantial,CESSNA,150,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 150
20180723X31358,2018-07-23,United States,Non-Fatal,substantial,GRUMMAN,AA5,No,1.0,reciprocating,instructional,0,0,0,2,vmc,0,2,0.0,0,GRUMMAN AA5
20180724X92617,2018-07-23,United States,Non-Fatal,substantial,CESSNA,560,No,2.0,turbo fan,positioning,0,0,0,2,vmc,0,2,0.0,0,CESSNA 560
20180725X32722,2018-07-23,United States,Non-Fatal,none,MCDONNELL DOUGLAS,MD88,No,,turbo fan,,0,1,1,144,vmc,2,146,0.00684931506849315,0,MCDONNELL DOUGLAS MD88
20180809X34644,2018-07-23,Ireland,Non-Fatal,substantial,CESSNA,750,No,2.0,turbo fan,business,0,0,0,8,,0,8,0.0,0,CESSNA 750
20181001X60526,2018-07-23,Mexico,,minor,AIRBUS,A330,No,,,,0,0,0,0,,0,,,0,AIRBUS A330
